recipe,recipe_type,dc_setting,rf_setting,n_samples,MAE,RMSE,R2,MAPE,Error_Pct,actual_mean,actual_std
DC1000(1),DC_only,1000,0,54,1799.111111111111,2229.1568244850223,-0.29180869405854537,0.0008496233300615774,0.0010527079421083821,211754536.5925926,1961.2886780032277
DC1000(2),DC_only,1000,0,54,1736.5925925925926,2097.710356732011,-0.18080786826148243,0.0008200961243928196,0.0009906302111423685,211755136.5925926,1930.438201247069
DC1000(3),DC_only,1000,0,55,1110.9818181818182,1380.8337929078805,0.22223489133765306,0.0005246499213577168,0.0006520847144539523,211756810.47272727,1565.731102590683
DC1000RF300(1),DC_RF,1000,300,57,3783.8596491228072,13162.653814432577,0.0018696642089396365,0.001786520195899681,0.006213384319182206,211843548.3508772,13174.975967208984
DC1000RF300(2),DC_RF,1000,300,59,5298.983050847458,20049.86629483294,-0.008036654810899213,0.0025022519498573456,0.009464579321441943,211841072.0,19969.781754491807
DC1000RF300(3),DC_RF,1000,300,58,3104.8275862068967,13869.525134202535,0.010170573925849968,0.0014660491609916127,0.006547110681235131,211841922.4827586,13940.598252191801
DC1000RF400(1),DC_RF,1000,400,58,5080.0,16348.4013855199,0.0022615606044912306,0.0023985896226489116,0.007717317728103177,211840460.13793105,16366.919251162648
DC1000RF400(2),DC_RF,1000,400,58,4603.586206896552,16112.91220922118,-0.009693391187484135,0.002173697994266141,0.007606195942252026,211839299.58620688,16035.381030530347
DC1000RF400(3),DC_RF,1000,400,57,3715.3684210526317,6220.306846382893,-0.1833707672424989,0.00175387885073662,0.0029362641511925785,211844252.63157895,5718.095317258045
DC1000RF500(1),DC_RF,1000,500,59,5808.542372881356,19854.84245249907,-0.004241124370801819,0.0027428028210189784,0.009372640802811716,211838294.77966103,19812.87247722824
DC1000RF500(2),DC_RF,1000,500,58,5693.517241379311,17659.13988611114,0.005869362099948594,0.0026882945545746244,0.008336040158512383,211840868.68965518,17711.193080985875
DC1000RF500(3),DC_RF,1000,500,58,3859.0344827586205,14222.403230648904,0.032195955939751664,0.001822091368354032,0.006713674703560371,211842304.8275862,14457.036292047684
DC2000(1),DC_only,2000,0,54,1399.111111111111,1638.3145811066527,0.05126611941025161,0.0006607211253543655,0.0007736844955332275,211754867.85185185,1681.9965143686895
DC2000(2),DC_only,2000,0,54,2515.5555555555557,2888.1087493631794,-2.0474683325058014,0.0011879926614422715,0.001363929322187232,211749150.2222222,1654.4130285801677
DC2000(3),DC_only,2000,0,54,1936.2962962962963,2331.885773201436,-0.32984958686629007,0.0009144311033366176,0.0011012465692722205,211749651.55555555,2022.1157481127118
DC2000RF300(1),DC_RF,2000,300,57,6539.789473684211,8602.420679312285,0.19874509588408718,0.0030881588443105647,0.00406213149529584,211771103.15789473,9610.264183508361
DC2000RF300(2),DC_RF,2000,300,58,7042.758620689655,12185.134821604957,0.7848593584254012,0.003325430712933786,0.0057536461316061395,211781095.72413793,26270.546600375885
DC2000RF300(3),DC_RF,2000,300,58,8183.448275862069,10774.399696854865,0.10200049380693466,0.003864212468943054,0.005087737778246351,211771914.4827586,11369.857811929569
DC2000RF400(1),DC_RF,2000,400,58,8095.724137931034,20150.979810181558,0.014151943142425183,0.0038224346107629224,0.009512327152828877,211840693.5172414,20295.09906292257
DC2000RF400(2),DC_RF,2000,400,58,6860.413793103448,19064.09915033472,0.018447339341897462,0.003239232473377978,0.008999263098738568,211840668.96551725,19242.410965298284
DC2000RF400(3),DC_RF,2000,400,58,7161.6551724137935,18925.81058255885,-0.0019475649955018604,0.003381433315561733,0.008934087077631865,211838214.89655173,18907.407835508915
DC2000RF500(1),DC_RF,2000,500,56,1596.0,1873.915991408671,-1.1179088366120746,0.0007533793635538735,0.0008845698147220798,211844894.57142857,1287.6460091570038
DC2000RF500(2),DC_RF,2000,500,59,4689.8983050847455,18623.48068470444,-0.018415530378823375,0.0022146148786127574,0.008791253707657133,211841010.44067797,18454.33270725901
DC2000RF500(3),DC_RF,2000,500,57,3518.877192982456,13841.673238271727,0.008162253501025507,0.0016614828149071827,0.006533904810383368,211843815.2982456,13898.511042257414
DC3000(1),DC_only,3000,0,55,1894.4,2212.346709635803,-1.1943193616088417,0.0008946683894717377,0.0010448225049742481,211743784.14545456,1493.4932743943498
DC3000(2),DC_only,3000,0,55,2378.4727272727273,2881.357255940963,-0.7286150005857064,0.0011232832989627579,0.0013607757671443245,211743721.8909091,2191.532777617506
DC3000(3),DC_only,3000,0,55,2941.090909090909,3326.192516157995,-2.0537663283431824,0.0013890164116458928,0.0015708856087304263,211739957.23636365,1903.3974405939246
DC3000R300(2),DC_RF,3000,300,58,3264.8275862068967,4494.431435791905,0.9280312008005785,0.001541570623672778,0.0021221121791858933,211790473.6551724,16753.387404828503
DC3000RF300(1),DC_RF,3000,300,56,2452.8571428571427,3036.409157447094,0.9649519605606596,0.0011581740470302086,0.0014337012094618614,211788142.2857143,16219.162614585483
DC3000RF300(3),DC_RF,3000,300,57,16300.350877192983,17848.999948397523,-2.567513203201421,0.007698354649933604,0.008429862410542874,211735365.0526316,9449.98444706982
DC3000RF400(1),DC_RF,3000,400,57,4047.438596491228,14412.507472647596,0.0013306533082112493,0.001911052405408865,0.0068034957990548844,211839735.01754385,14422.106078396953
