recipe,dc_setting,rf_setting,n_samples,mean,std,min,max,lower_bound,upper_bound,range
DC0_RF300,0,300,212,211835515.9245283,28521.737537275803,211733072.0,211848688.0,211721510.4,211921081.13714013,199570.73714011908
DC0_RF400,0,400,212,211827002.56603774,27276.046712882988,211735024.0,211847664.0,211723760.0,211908830.7061764,185070.70617640018
DC0_RF500,0,500,214,211834148.93457943,28845.587629757185,211736048.0,211849520.0,211724700.8,211920685.6974687,195984.8974686861
DC1000_RF0,1000,0,205,211755250.65365854,2108.9699952875576,211749776.0,211760944.0,211748659.2,211762060.8,13401.600000023842
DC1000_RF300,1000,300,216,211834951.4074074,30517.421952252076,211733664.0,211849920.0,211722038.4,211926503.67326415,204465.2732641399
DC1000_RF400,1000,400,215,211833623.21860465,30564.563063443074,211731744.0,211849280.0,211719990.4,211925316.90779498,205326.50779497623
DC1000_RF500,1000,500,217,211833120.29493088,31798.126886630747,211731920.0,211848368.0,211720275.2,211928514.67559075,208239.47559076548
DC2000_RF0,2000,0,204,211751106.74509802,3004.032635022445,211744992.0,211759664.0,211742094.64719296,211761131.2,19036.552807033062
DC2000_RF300,2000,300,215,211771921.19069767,20108.81779962507,211731456.0,211844128.0,211711594.7372988,211855395.2,143800.46270120144
DC2000_RF400,2000,400,216,211832622.5185185,31287.42221590529,211738080.0,211848000.0,211727088.0,211926484.78516623,199396.78516623378
DC2000_RF500,2000,500,214,211835732.63551402,29634.11251906126,211738272.0,211848432.0,211727256.0,211924634.97307122,197378.97307121754
DC3000_RF0,3000,0,207,211742754.00966182,2695.373997317236,211736448.0,211749920.0,211734667.88766986,211751267.2,16599.312330126762
DC3000_RF300,3000,300,213,211769772.31924883,29814.668505855345,211728080.0,211816992.0,211680328.31373125,211859216.3247664,178888.01103514433
DC3000_RF400,3000,400,211,211792758.9763033,35715.50251872869,211732160.0,211845776.0,211685612.4687471,211899905.4838595,214293.01511240005
DC3000_RF500,3000,500,216,211832742.14814815,31605.090056184526,211733008.0,211848768.0,211721432.0,211927557.4183167,206125.4183166921
