Timer,ULVAC.Stage1.Temp1,ULVAC.Stage2.Temp1,EN4.Power,EN4.Current,EN4.Volt,PLA5.Match.Load.Posi,PLA5.Match.Tune.Posi,PLA5.Match.Load.Pre,PLA5.Match.Tune.Pre,PLA5.Match.DCBias,SBRF5.Forward,SBRF5.Reflect,SBRF5.SetPower,PWESC.Volt1,PWESC.Volt2,OES.Data6,Line.Gauge.i,Ion.Gauge.i,Baratron.Gauge.i,Ar.MFC.i,Ar2.MFC.i,Ar.MFC.o,Ar2.MFC.o,PWPDS.Data,PWPDS.Data2,PWPDS.Data3,PWPDS.Data4,PWPDS.Data5,PWPDS.Data6,PWPDS.Data7,PWPDS.Data8
[2026.02.20 23:40:59],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.39E-03,1.51E-06,0.0,0,0,0,0,211764736,211742080,211757248,211762752,211754112,211765504,211764000,211771072
[2026.02.20 23:41:00],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.39E-03,1.50E-06,0.0,0,0,0,0,211763904,211749936,211756704,211762176,211755968,211765728,211765968,211772736
[2026.02.20 23:41:01],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.39E-03,1.48E-06,0.0,0,0,0,0,211764176,211759008,211757248,211762544,211757264,211765312,211764128,211773200
[2026.02.20 23:41:02],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.39E-03,1.46E-06,0.0,0,0,0,0,211767456,211762896,211756704,211767712,211758816,211765536,211762784,211772784
[2026.02.20 23:41:03],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.39E-03,1.45E-06,0.0,0,0,0,0,211760912,211769600,211751936,211763056,211753760,211763968,211764720,211770336
[2026.02.20 23:41:04],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.39E-03,1.42E-06,0.0,0,0,0,0,211760016,211763360,211750192,211760768,211754928,211761424,211761744,211770512
[2026.02.20 23:41:05],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.39E-03,1.41E-06,0.0,0,0,0,0,211754832,211764736,211748432,211760112,211752800,211759680,211760208,211768608
[2026.02.20 23:41:06],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.39E-03,1.38E-06,0.0,0,0,0,0,211752896,211770992,211747120,211759392,211751808,211760160,211760032,211767088
[2026.02.20 23:41:07],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.39E-03,1.39E-06,0.0,0,0,0,0,211754496,211764256,211748048,211759600,211753200,211760496,211758528,211766352
[2026.02.20 23:41:08],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.42E-03,1.38E-06,0.0,0,0,0,0,211750800,211762144,211752752,211758880,211762192,211759392,211776304,211757472
[2026.02.20 23:41:09],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.42E-03,8.39E-06,0.0,57,0,80,0,211753216,211767520,211751760,211758256,211760704,211758864,211774512,211760416
[2026.02.20 23:41:10],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.39E-03,3.75E-03,3.3,79,0,80,0,211749888,211766592,211751040,211758304,211760512,211758960,211771392,211759248
[2026.02.20 23:41:11],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.39E-03,3.81E-03,3.3,80,0,80,0,211752032,211762448,211751808,211760240,211759920,211760000,211772624,211761216
[2026.02.20 23:41:12],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.39E-03,3.81E-03,3.3,80,0,80,0,211754640,211763216,211753024,211759776,211759536,211759792,211768592,211754704
[2026.02.20 23:41:13],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.42E-03,3.84E-03,3.2,80,0,80,0,211752912,211765808,211754320,211760048,211760128,211760448,211769232,211755152
[2026.02.20 23:41:14],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.42E-03,3.81E-03,3.2,80,0,80,0,211754400,211764240,211751936,211758368,211761776,211760560,211769088,211757488
[2026.02.20 23:41:15],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.42E-03,3.81E-03,3.2,80,0,80,0,211752784,211764752,211751072,211757424,211762464,211760704,211766592,211756240
[2026.02.20 23:41:16],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.42E-03,3.72E-03,3.2,80,0,80,0,211755616,211764576,211751984,211757696,211762880,211760928,211770976,211757440
[2026.02.20 23:41:17],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.42E-03,3.70E-03,3.2,80,0,80,0,211753072,211764480,211753376,211757904,211760784,211760112,211770672,211758512
[2026.02.20 23:41:18],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.42E-03,3.72E-03,3.2,80,0,80,0,211753872,211764144,211751392,211757936,211762080,211760240,211768352,211756464
[2026.02.20 23:41:19],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.42E-03,3.72E-03,3.2,80,0,80,0,211754096,211772912,211751776,211758608,211762544,211761136,211767888,211756048
[2026.02.20 23:41:20],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.42E-03,3.75E-03,3.2,80,0,80,0,211750464,211764432,211751056,211757216,211762064,211761920,211769872,211755232
[2026.02.20 23:41:21],64.8,9,999,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.39E-03,3.70E-03,3.2,80,0,80,0,211752448,211763152,211750560,211757952,211762320,211764192,211769216,211755360
[2026.02.20 23:41:22],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.44E-03,3.67E-03,3.2,80,0,80,0,211753184,211760512,211752784,211756368,211762064,211764464,211769648,211755312
[2026.02.20 23:41:23],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.58E-03,3.75E-03,3.2,80,0,80,0,211755264,211767472,211752320,211755968,211763376,211763120,211769488,211757616
[2026.02.20 23:41:24],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.63E-03,3.75E-03,3.2,80,0,80,0,211754560,211764064,211750944,211756576,211761296,211762560,211769600,211760816
[2026.02.20 23:41:25],64.8,9,1000,1.8,561,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.63E-03,3.70E-03,3.2,80,0,80,0,211753296,211763728,211751248,211756240,211759888,211761872,211771696,211756656
[2026.02.20 23:41:26],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.63E-03,3.67E-03,3.2,80,0,80,0,211753072,211763088,211749728,211756800,211759120,211763584,211769936,211758464
[2026.02.20 23:41:27],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.68E-03,3.70E-03,3.2,80,0,80,0,211752496,211761408,211749856,211757584,211760752,211763456,211770048,211758144
[2026.02.20 23:41:28],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.68E-03,3.72E-03,3.2,80,0,80,0,211750160,211762272,211749664,211756512,211761504,211764064,211770272,211758928
[2026.02.20 23:41:29],64.8,9,1000,1.8,561,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.71E-03,3.72E-03,3.2,80,0,80,0,211751904,211763456,211751072,211757520,211761488,211763024,211768560,211758576
[2026.02.20 23:41:30],64.8,9,1000,1.8,562,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.68E-03,3.72E-03,3.1,80,0,80,0,211753216,211766592,211750528,211756112,211761504,211761216,211768512,211759184
[2026.02.20 23:41:31],64.8,9,1000,1.8,562,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.68E-03,3.70E-03,3.2,80,0,80,0,211755264,211769120,211752448,211753872,211762080,211761504,211768144,211759248
[2026.02.20 23:41:32],64.8,9,1000,1.8,561,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.68E-03,3.78E-03,3.2,80,0,80,0,211751104,211763312,211757792,211756640,211762720,211762096,211770240,211757088
[2026.02.20 23:41:33],64.8,9,1000,1.8,561,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.71E-03,3.72E-03,3.2,80,0,80,0,211750288,211767184,211756976,211756240,211762848,211761120,211771216,211758416
[2026.02.20 23:41:34],64.8,9,1000,1.8,562,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.68E-03,3.70E-03,3.2,80,0,80,0,211749776,211770176,211752352,211755984,211763552,211761328,211770720,211758640
[2026.02.20 23:41:35],64.8,9,1000,1.8,562,80.0,80.0,80,80,558,0,0,0,0,0,0.0,5.71E-03,3.75E-03,3.2,80,0,80,0,211757056,211762928,211751776,211755776,211763232,211761856,211770768,211756592
[2026.02.20 23:41:36],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.68E-03,3.70E-03,3.2,80,0,80,0,211751680,211767728,211751568,211755088,211763760,211761840,211770880,211757952
[2026.02.20 23:41:37],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.68E-03,3.70E-03,3.2,80,0,80,0,211751536,211767504,211752064,211756816,211762496,211761904,211769904,211758864
[2026.02.20 23:41:38],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.68E-03,3.78E-03,3.2,80,0,80,0,211753104,211771024,211750800,211758896,211762160,211762320,211769808,211759776
[2026.02.20 23:41:39],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.68E-03,3.75E-03,3.2,80,0,80,0,211754528,211763664,211751536,211756608,211762176,211761504,211771424,211757760
[2026.02.20 23:41:40],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.68E-03,3.75E-03,3.2,80,0,80,0,211756864,211763536,211751024,211757200,211761920,211762560,211771280,211761440
[2026.02.20 23:41:41],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.63E-03,3.72E-03,3.2,80,0,80,0,211758912,211765728,211749904,211757136,211762848,211763392,211769952,211756512
[2026.02.20 23:41:42],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.63E-03,3.72E-03,3.2,80,0,80,0,211755808,211763184,211751584,211757600,211762528,211763232,211768736,211756784
[2026.02.20 23:41:43],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.63E-03,3.72E-03,3.2,80,0,80,0,211753584,211768112,211751440,211758640,211763136,211761968,211768496,211757648
[2026.02.20 23:41:44],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.63E-03,3.75E-03,3.2,80,0,80,0,211752944,211763504,211752416,211757408,211764544,211763296,211772368,211758128
[2026.02.20 23:41:45],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.61E-03,3.70E-03,3.2,80,0,80,0,211754336,211765456,211750064,211758128,211762944,211761008,211770880,211757552
[2026.02.20 23:41:46],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.63E-03,3.75E-03,3.2,80,0,80,0,211754256,211768144,211750624,211757168,211762944,211759424,211771712,211757520
[2026.02.20 23:41:47],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.61E-03,3.75E-03,3.2,80,0,80,0,211756112,211764896,211751328,211757424,211763952,211761408,211771280,211760160
